R140 (original)
1.0000000 0.0000030
0.9967464 0.0005128
0.9934409 0.0010197
0.9900829 0.0015248
0.9866714 0.0020290
0.9832057 0.0025336
0.9796849 0.0030394
0.9761081 0.0035475
0.9724747 0.0040589
0.9687837 0.0045747
0.9650344 0.0050960
0.9612259 0.0056236
0.9573574 0.0061588
0.9534280 0.0067024
0.9494371 0.0072556
0.9453836 0.0078194
0.9412670 0.0083947
0.9370872 0.0089818
0.9328442 0.0095808
0.9285384 0.0101918
0.9241698 0.0108150
0.9197386 0.0114503
0.9152450 0.0120978
0.9106882 0.0127576
0.9060674 0.0134293
0.9013814 0.0141127
0.8966291 0.0148077
0.8918096 0.0155141
0.8869217 0.0162316
0.8819643 0.0169598
0.8769364 0.0176981
0.8718368 0.0184459
0.8666645 0.0192025
0.8614182 0.0199674
0.8560976 0.0207398
0.8507044 0.0215186
0.8452407 0.0223028
0.8397087 0.0230914
0.8341104 0.0238831
0.8284470 0.0246771
0.8227170 0.0254731
0.8169182 0.0262710
0.8110485 0.0270705
0.8051057 0.0278716
0.7990891 0.0286740
0.7930007 0.0294776
0.7868425 0.0302820
0.7806165 0.0310871
0.7743244 0.0318927
0.7679655 0.0326991
0.7615378 0.0335070
0.7550393 0.0343169
0.7484681 0.0351292
0.7418247 0.0359443
0.7351117 0.0367621
0.7283320 0.0375823
0.7214884 0.0384049
0.7145832 0.0392296
0.7076180 0.0400563
0.7005941 0.0408845
0.6935132 0.0417142
0.6863756 0.0425448
0.6791811 0.0433761
0.6719292 0.0442078
0.6646195 0.0450395
0.6572537 0.0458704
0.6498341 0.0466994
0.6423633 0.0475255
0.6348440 0.0483476
0.6272781 0.0491648
0.6196679 0.0499759
0.6120154 0.0507799
0.6043209 0.0515760
0.5965820 0.0523634
0.5887953 0.0531415
0.5809597 0.0539098
0.5730835 0.0546665
0.5651789 0.0554098
0.5572573 0.0561379
0.5493219 0.0568497
0.5413687 0.0575444
0.5333935 0.0582215
0.5253926 0.0588800
0.5173651 0.0595180
0.5093110 0.0601333
0.5012302 0.0607236
0.4931278 0.0612860
0.4850156 0.0618168
0.4769059 0.0623122
0.4688058 0.0627690
0.4607134 0.0631848
0.4526258 0.0635573
0.4445407 0.0638845
0.4364598 0.0641650
0.4283862 0.0643975
0.4203224 0.0645810
0.4122710 0.0647149
0.4042335 0.0647995
0.3962115 0.0648353
0.3882064 0.0648226
0.3802206 0.0647630
0.3722568 0.0646581
0.3643177 0.0645099
0.3564071 0.0643206
0.3485309 0.0640927
0.3406948 0.0638287
0.3329033 0.0635310
0.3251562 0.0632012
0.3174518 0.0628408
0.3097888 0.0624515
0.3021669 0.0620344
0.2945903 0.0615910
0.2870637 0.0611222
0.2795922 0.0606293
0.2721789 0.0601130
0.2648255 0.0595738
0.2575335 0.0590120
0.2503044 0.0584279
0.2431406 0.0578218
0.2360454 0.0571938
0.2290219 0.0565440
0.2220729 0.0558725
0.2152006 0.0551790
0.2084064 0.0544630
0.2016919 0.0537243
0.1950583 0.0529621
0.1885044 0.0521757
0.1820277 0.0513638
0.1756261 0.0505251
0.1693028 0.0496593
0.1630700 0.0487674
0.1569399 0.0478505
0.1509150 0.0469094
0.1449911 0.0459448
0.1391639 0.0449573
0.1334284 0.0439490
0.1277805 0.0429224
0.1222275 0.0418828
0.1167868 0.0408381
0.1114691 0.0397941
0.1062633 0.0387515
0.1011548 0.0377097
0.0961429 0.0366700
0.0912431 0.0356355
0.0864705 0.0346091
0.0818248 0.0335899
0.0772966 0.0325743
0.0728768 0.0315589
0.0685672 0.0305422
0.0643760 0.0295237
0.0603114 0.0285030
0.0563766 0.0274788
0.0525691 0.0264483
0.0488860 0.0254092
0.0453251 0.0243591
0.0418890 0.0232984
0.0385826 0.0222285
0.0354104 0.0211507
0.0323764 0.0200662
0.0294765 0.0189754
0.0267023 0.0178778
0.0240515 0.0167772
0.0215331 0.0156831
0.0191559 0.0146054
0.0169211 0.0135488
0.0148247 0.0125145
0.0128627 0.0115038
0.0110342 0.0105176
0.0093419 0.0095569
0.0077886 0.0086225
0.0063770 0.0077152
0.0051081 0.0068343
0.0039807 0.0059765
0.0029934 0.0051386
0.0021457 0.0043177
0.0014380 0.0035113
0.0008709 0.0027171
0.0004449 0.0019325
0.0001603 0.0011550
0.0000178 0.0003823
0.0000178 -0.0003881
0.0001603 -0.0011584
0.0004449 -0.0019308
0.0008709 -0.0027072
0.0014380 -0.0034896
0.0021457 -0.0042802
0.0029934 -0.0050808
0.0039807 -0.0058935
0.0051081 -0.0067203
0.0063770 -0.0075631
0.0077886 -0.0084235
0.0093419 -0.0093012
0.0110342 -0.0101943
0.0128627 -0.0111008
0.0148248 -0.0120186
0.0169212 -0.0129461
0.0191559 -0.0138815
0.0215331 -0.0148230
0.0240514 -0.0157670
0.0267022 -0.0167068
0.0294768 -0.0176361
0.0323767 -0.0185541
0.0354101 -0.0194639
0.0385809 -0.0203676
0.0418862 -0.0212658
0.0453227 -0.0221590
0.0488868 -0.0230478
0.0525758 -0.0239327
0.0563890 -0.0248146
0.0603260 -0.0256944
0.0643863 -0.0265730
0.0685688 -0.0274504
0.0728715 -0.0283263
0.0772924 -0.0291998
0.0818301 -0.0300701
0.0864843 -0.0309356
0.0912550 -0.0317945
0.0961410 -0.0326450
0.1011379 -0.0334848
0.1062414 -0.0343114
0.1114520 -0.0351242
0.1167753 -0.0359236
0.1222148 -0.0367101
0.1277616 -0.0374834
0.1334023 -0.0382430
0.1391297 -0.0389896
0.1449562 -0.0397275
0.1508967 -0.0404616
0.1569445 -0.0411930
0.1630794 -0.0419208
0.1692904 -0.0426443
0.1755876 -0.0433647
0.1819819 -0.0440828
0.1884707 -0.0447972
0.1950448 -0.0455053
0.2016952 -0.0462046
0.2084163 -0.0468928
0.2152095 -0.0475679
0.2220770 -0.0482282
0.2290210 -0.0488715
0.2360420 -0.0494961
0.2431369 -0.0500995
0.2503023 -0.0506794
0.2575347 -0.0512337
0.2648309 -0.0517604
0.2721878 -0.0522583
0.2796027 -0.0527262
0.2870725 -0.0531631
0.2945948 -0.0535680
0.3021674 -0.0539405
0.3097886 -0.0542803
0.3174563 -0.0545873
0.3251678 -0.0548613
0.3329207 -0.0551023
0.3407121 -0.0553104
0.3485402 -0.0554857
0.3564041 -0.0556282
0.3643029 -0.0557380
0.3722355 -0.0558152
0.3801979 -0.0558598
0.3881852 -0.0558718
0.3961925 -0.0558512
0.4042171 -0.0557984
0.4122597 -0.0557140
0.4203208 -0.0555988
0.4284000 -0.0554536
0.4364913 -0.0552794
0.4445870 -0.0550776
0.4526800 -0.0548494
0.4607687 -0.0545954
0.4688570 -0.0543161
0.4769487 -0.0540116
0.4850444 -0.0536821
0.4931361 -0.0533270
0.5012142 -0.0529459
0.5092700 -0.0525379
0.5173051 -0.0521020
0.5253268 -0.0516365
0.5333421 -0.0511399
0.5413502 -0.0506118
0.5493393 -0.0500538
0.5572966 -0.0494675
0.5652114 -0.0488544
0.5730844 -0.0482173
0.5809215 -0.0475591
0.5887285 -0.0468827
0.5965075 -0.0461916
0.6042551 -0.0454901
0.6119671 -0.0447823
0.6196393 -0.0440725
0.6272674 -0.0433638
0.6348467 -0.0426590
0.6423725 -0.0419607
0.6498420 -0.0412706
0.6572563 -0.0405882
0.6646172 -0.0399126
0.6719268 -0.0392428
0.6791844 -0.0385773
0.6863860 -0.0379145
0.6935275 -0.0372523
0.7006047 -0.0365889
0.7076179 -0.0359225
0.7145704 -0.0352509
0.7214656 -0.0345721
0.7283067 -0.0338844
0.7350914 -0.0331871
0.7418131 -0.0324813
0.7484651 -0.0317677
0.7550410 -0.0310472
0.7615398 -0.0303206
0.7679657 -0.0295888
0.7743233 -0.0288524
0.7806172 -0.0281125
0.7868494 -0.0273700
0.7930160 -0.0266270
0.7991128 -0.0258855
0.8051352 -0.0251477
0.8110791 -0.0244156
0.8169438 -0.0236903
0.8227341 -0.0229723
0.8284548 -0.0222618
0.8341107 -0.0215589
0.8397057 -0.0208639
0.8452378 -0.0201774
0.8507031 -0.0194999
0.8560978 -0.0188320
0.8614184 -0.0181742
0.8666616 -0.0175272
0.8718286 -0.0168905
0.8769220 -0.0162635
0.8819445 -0.0156457
0.8868986 -0.0150365
0.8917868 -0.0144354
0.8966102 -0.0138418
0.9013686 -0.0132556
0.9060619 -0.0126764
0.9106900 -0.0121040
0.9152528 -0.0115381
0.9197503 -0.0109783
0.9241825 -0.0104244
0.9285501 -0.0098760
0.9328535 -0.0093327
0.9370932 -0.0087942
0.9412696 -0.0082602
0.9453833 -0.0077302
0.9494348 -0.0072039
0.9534247 -0.0066810
0.9573538 -0.0061609
0.9612226 -0.0056434
0.9650319 -0.0051280
0.9687824 -0.0046143
0.9724747 -0.0041020
0.9761095 -0.0035905
0.9796875 -0.0030795
0.9832094 -0.0025687
0.9866757 -0.0020575
0.9900873 -0.0015457
0.9934447 -0.0010328
0.9967488 -0.0005183
1.0000000 -0.0000020
