NACA65 (1)-412
1.0000000 0.0000000
0.9925804 0.0014536
0.9848930 0.0029680
0.9769031 0.0045456
0.9686330 0.0061785
0.9600841 0.0078654
0.9512264 0.0096129
0.9420561 0.0114213
0.9325739 0.0132917
0.9227748 0.0152281
0.9126319 0.0172376
0.9021426 0.0193209
0.8913305 0.0214723
0.8801745 0.0236928
0.8686580 0.0259790
0.8567847 0.0283226
0.8445592 0.0307160
0.8319562 0.0331579
0.8190175 0.0356360
0.8057013 0.0381563
0.7920104 0.0407123
0.7780063 0.0432826
0.7636302 0.0458676
0.7488779 0.0484547
0.7338081 0.0510283
0.7183886 0.0535896
0.7026668 0.0561257
0.6866239 0.0586273
0.6703173 0.0610692
0.6537358 0.0634388
0.6368612 0.0657271
0.6197028 0.0679240
0.6023285 0.0700099
0.5847711 0.0719616
0.5670520 0.0737577
0.5491360 0.0753839
0.5310984 0.0768224
0.5129871 0.0780570
0.4947077 0.0790697
0.4764943 0.0798300
0.4581770 0.0803429
0.4398974 0.0806153
0.4216971 0.0806567
0.4034629 0.0804711
0.3854227 0.0800676
0.3674373 0.0794645
0.3496060 0.0786935
0.3319749 0.0777641
0.3145298 0.0766592
0.2973364 0.0753693
0.2804370 0.0739112
0.2637712 0.0723076
0.2474152 0.0705853
0.2313792 0.0687455
0.2157374 0.0667926
0.2004395 0.0647159
0.1856161 0.0625351
0.1711854 0.0602436
0.1572010 0.0578466
0.1437041 0.0553518
0.1307058 0.0527656
0.1182322 0.0501048
0.1063125 0.0473927
0.0949185 0.0446337
0.0841259 0.0418522
0.0739208 0.0390440
0.0643030 0.0362087
0.0553086 0.0333602
0.0469612 0.0305165
0.0392629 0.0276932
0.0322271 0.0249141
0.0258672 0.0222009
0.0201804 0.0195595
0.0151737 0.0169873
0.0108884 0.0144793
0.0072919 0.0119650
0.0044180 0.0093969
0.0022550 0.0067116
0.0008123 0.0039527
0.0000907 0.0012660
0.0000903 -0.0012588
0.0008115 -0.0036134
0.0022605 -0.0058860
0.0044159 -0.0080362
0.0073026 -0.0100218
0.0108799 -0.0117745
0.0151815 -0.0133511
0.0201850 -0.0148114
0.0258613 -0.0162022
0.0322346 -0.0175688
0.0392694 -0.0189208
0.0469732 -0.0202649
0.0553329 -0.0215993
0.0643057 -0.0229123
0.0739210 -0.0242018
0.0841457 -0.0254606
0.0949331 -0.0266818
0.1063197 -0.0278699
0.1182417 -0.0290188
0.1307207 -0.0301285
0.1437539 -0.0311960
0.1572358 -0.0322106
0.1711752 -0.0331749
0.1856302 -0.0340945
0.2004859 -0.0349592
0.2157321 -0.0357646
0.2313711 -0.0365024
0.2474374 -0.0371712
0.2637736 -0.0377683
0.2804019 -0.0382943
0.2973628 -0.0387440
0.3145575 -0.0391056
0.3319679 -0.0393757
0.3496026 -0.0395567
0.3674294 -0.0396422
0.3854164 -0.0396231
0.4035231 -0.0394874
0.4217130 -0.0392214
0.4399253 -0.0388104
0.4582208 -0.0382395
0.4765015 -0.0375046
0.4947560 -0.0366093
0.5129381 -0.0355595
0.5310776 -0.0343580
0.5491473 -0.0330132
0.5670262 -0.0315527
0.5847814 -0.0300009
0.6023110 -0.0283901
0.6196658 -0.0267286
0.6368307 -0.0250264
0.6537262 -0.0232971
0.6703132 -0.0215593
0.6866287 -0.0198225
0.7026874 -0.0180965
0.7184302 -0.0163963
0.7338393 -0.0147331
0.7489054 -0.0131149
0.7636167 -0.0115473
0.7780371 -0.0100272
0.7920337 -0.0085737
0.8056941 -0.0071855
0.8190035 -0.0058715
0.8319824 -0.0046404
0.8445800 -0.0035013
0.8568099 -0.0024526
0.8686709 -0.0014902
0.8801647 -0.0006099
0.8913278 0.0001903
0.9021424 0.0009023
0.9126200 0.0015139
0.9227747 0.0020097
0.9325960 0.0023724
0.9420715 0.0025897
0.9512241 0.0026523
0.9600923 0.0025545
0.9686529 0.0022987
0.9769091 0.0018931
0.9848829 0.0013539
0.9925822 0.0007095
1.0000000 0.0000010
