NACA 65(2)-415
1.0000000 0.0000000
0.9925869 0.0015660
0.9848948 0.0032115
0.9769178 0.0049374
0.9686499 0.0067447
0.9600854 0.0086343
0.9512184 0.0106072
0.9420428 0.0126641
0.9325529 0.0148062
0.9227428 0.0170342
0.9126066 0.0193492
0.9021384 0.0217520
0.8913321 0.0242431
0.8801806 0.0268201
0.8686765 0.0294796
0.8568121 0.0322181
0.8445805 0.0350321
0.8319806 0.0379155
0.8190177 0.0408600
0.8056971 0.0438570
0.7920239 0.0468980
0.7780008 0.0499740
0.7636293 0.0530751
0.7489107 0.0561917
0.7338485 0.0593131
0.7184514 0.0624254
0.7027290 0.0655144
0.6866916 0.0685652
0.6703525 0.0715605
0.6537263 0.0744820
0.6368285 0.0773107
0.6196819 0.0800246
0.6023123 0.0826000
0.5847453 0.0850139
0.5670062 0.0872447
0.5491199 0.0892716
0.5311095 0.0910751
0.5129917 0.0926406
0.4947821 0.0939543
0.4765060 0.0950057
0.4582059 0.0957898
0.4399255 0.0963024
0.4216935 0.0965434
0.4035245 0.0965166
0.3854346 0.0962265
0.3674559 0.0956816
0.3496290 0.0948922
0.3319912 0.0938691
0.3145643 0.0926240
0.2973653 0.0911690
0.2804144 0.0895162
0.2637427 0.0876783
0.2473836 0.0856679
0.2313681 0.0834972
0.2157187 0.0811768
0.2004555 0.0787165
0.1855991 0.0761266
0.1711729 0.0734177
0.1572013 0.0706011
0.1437089 0.0676876
0.1307183 0.0646883
0.1182483 0.0616138
0.1063172 0.0584747
0.0949433 0.0552816
0.0841432 0.0520440
0.0739296 0.0487688
0.0643153 0.0454624
0.0553190 0.0421305
0.0469620 0.0387786
0.0392630 0.0354107
0.0322301 0.0320243
0.0258687 0.0286155
0.0201843 0.0251803
0.0151854 0.0217210
0.0108847 0.0182482
0.0072940 0.0147736
0.0044167 0.0113163
0.0022543 0.0079182
0.0008104 0.0046330
0.0000888 0.0014970
0.0000930 -0.0014554
0.0008222 -0.0042107
0.0022707 -0.0067763
0.0044328 -0.0091605
0.0073027 -0.0113716
0.0108834 -0.0134340
0.0151810 -0.0154018
0.0201777 -0.0173116
0.0258635 -0.0191850
0.0322303 -0.0210399
0.0392679 -0.0228838
0.0469653 -0.0247184
0.0553113 -0.0265448
0.0642942 -0.0283620
0.0739017 -0.0301641
0.0841211 -0.0319448
0.0949333 -0.0336964
0.1063143 -0.0354107
0.1182438 -0.0370804
0.1307084 -0.0387005
0.1436952 -0.0402663
0.1571917 -0.0417732
0.1711774 -0.0432160
0.1856197 -0.0445891
0.2004847 -0.0458869
0.2157410 -0.0471038
0.2313730 -0.0482348
0.2473712 -0.0492752
0.2637242 -0.0502199
0.2804027 -0.0510606
0.2973663 -0.0517870
0.3145760 -0.0523887
0.3320087 -0.0528543
0.3496495 -0.0531723
0.3674799 -0.0533314
0.3854599 -0.0533217
0.4035421 -0.0531342
0.4216913 -0.0527608
0.4399028 -0.0521965
0.4581767 -0.0514369
0.4764875 -0.0504819
0.4947789 -0.0493368
0.5129958 -0.0480077
0.5311151 -0.0465052
0.5491314 -0.0448425
0.5670342 -0.0430344
0.5847885 -0.0411025
0.6023528 -0.0390702
0.6196954 -0.0369596
0.6368074 -0.0347906
0.6536831 -0.0325823
0.6703099 -0.0303531
0.6866628 -0.0281197
0.7027157 -0.0258987
0.7184483 -0.0237045
0.7338514 -0.0215477
0.7489172 -0.0194382
0.7636389 -0.0173856
0.7780128 -0.0153975
0.7920361 -0.0134813
0.8057061 -0.0116443
0.8190197 -0.0098935
0.8319744 -0.0082358
0.8445671 -0.0066779
0.8567955 -0.0052268
0.8686620 -0.0038884
0.8801724 -0.0026687
0.8913326 -0.0015734
0.9021484 -0.0006082
0.9126255 0.0002214
0.9227696 0.0009104
0.9325862 0.0014543
0.9420809 0.0018481
0.9512593 0.0020870
0.9601270 0.0021663
0.9686895 0.0020812
0.9769525 0.0018269
0.9849215 0.0013987
0.9926022 0.0007916
1.0000000 0.0000000
