NASA NLF(1)-0416
1.0000000 -0.0000140
0.9976605 0.0007099
0.9952958 0.0014348
0.9929051 0.0021602
0.9904879 0.0028861
0.9880434 0.0036120
0.9855712 0.0043379
0.9830706 0.0050633
0.9805414 0.0057881
0.9779831 0.0065120
0.9753954 0.0072348
0.9727779 0.0079562
0.9701303 0.0086761
0.9674523 0.0093942
0.9647438 0.0101105
0.9620047 0.0108249
0.9592347 0.0115372
0.9564338 0.0122475
0.9536018 0.0129556
0.9507386 0.0136614
0.9478439 0.0143649
0.9449176 0.0150663
0.9419596 0.0157656
0.9389695 0.0164629
0.9359473 0.0171584
0.9328927 0.0178522
0.9298056 0.0185444
0.9266858 0.0192350
0.9235330 0.0199243
0.9203471 0.0206124
0.9171280 0.0212996
0.9138753 0.0219860
0.9105890 0.0226719
0.9072689 0.0233575
0.9039148 0.0240430
0.9005264 0.0247285
0.8971036 0.0254145
0.8936463 0.0261009
0.8901540 0.0267881
0.8866266 0.0274763
0.8830637 0.0281657
0.8794651 0.0288565
0.8758303 0.0295490
0.8721592 0.0302433
0.8684515 0.0309397
0.8647068 0.0316384
0.8609250 0.0323396
0.8571058 0.0330434
0.8532496 0.0337500
0.8493566 0.0344593
0.8454267 0.0351715
0.8414603 0.0358865
0.8374575 0.0366046
0.8334185 0.0373256
0.8293434 0.0380497
0.8252324 0.0387770
0.8210856 0.0395076
0.8169029 0.0402413
0.8126840 0.0409784
0.8084289 0.0417188
0.8041373 0.0424626
0.7998090 0.0432098
0.7954438 0.0439605
0.7910416 0.0447147
0.7866021 0.0454724
0.7821251 0.0462337
0.7776107 0.0469986
0.7730593 0.0477669
0.7684713 0.0485385
0.7638472 0.0493133
0.7591874 0.0500911
0.7544924 0.0508718
0.7497627 0.0516552
0.7449987 0.0524412
0.7402008 0.0532298
0.7353695 0.0540206
0.7305052 0.0548137
0.7256081 0.0556088
0.7206784 0.0564059
0.7157164 0.0572049
0.7107224 0.0580055
0.7056966 0.0588078
0.7006393 0.0596116
0.6955506 0.0604168
0.6904310 0.0612232
0.6852806 0.0620307
0.6801000 0.0628392
0.6748897 0.0636485
0.6696501 0.0644585
0.6643818 0.0652690
0.6590854 0.0660798
0.6537612 0.0668909
0.6484098 0.0677019
0.6430318 0.0685128
0.6376276 0.0693235
0.6321980 0.0701336
0.6267438 0.0709430
0.6212658 0.0717513
0.6157649 0.0725584
