NACA 65(2)-415
    1.000000       0.000000    
   0.9923636      0.1586735E-02
   0.9825018      0.3658525E-02
   0.9712528      0.6052998E-02
   0.9583781      0.8834450E-02
   0.9438620      0.1202287E-01
   0.9281794      0.1552509E-01
   0.9120690      0.1917371E-01
   0.8959980      0.2285259E-01
   0.8799759      0.2654440E-01
   0.8638953      0.3025477E-01
   0.8477189      0.3397260E-01
   0.8314825      0.3767433E-01
   0.8152465      0.4134130E-01
   0.7990596      0.4495951E-01
   0.7829534      0.4851606E-01
   0.7669347      0.5199582E-01
   0.7509836      0.5538861E-01
   0.7350583      0.5869158E-01
   0.7191256      0.6190976E-01
   0.7031855      0.6504341E-01
   0.6872708      0.6808497E-01
   0.6714191      0.7101751E-01
   0.6556400      0.7382694E-01
   0.6399139      0.7650532E-01
   0.6242116      0.7905107E-01
   0.6085248      0.8146159E-01
   0.5928709      0.8373024E-01
   0.5772818      0.8584384E-01
   0.5617747      0.8778727E-01
   0.5463442      0.8954896E-01
   0.5309682      0.9112189E-01
   0.5156260      0.9250305E-01
   0.5003066      0.9368830E-01
   0.4850073      0.9467294E-01
   0.4697273      0.9545393E-01
   0.4544597      0.9602882E-01
   0.4391904      0.9639530E-01
   0.4239010      0.9655574E-01
   0.4085737      0.9651492E-01
   0.3931920      0.9627671E-01
   0.3777424      0.9584653E-01
   0.3622235      0.9523291E-01
   0.3466518      0.9444578E-01
   0.3310609      0.9349374E-01
   0.3154851      0.9237742E-01
   0.2999464      0.9109619E-01
   0.2844541      0.8964880E-01
   0.2690106      0.8803236E-01
   0.2536172      0.8624353E-01
   0.2382754      0.8427894E-01
   0.2229897      0.8213529E-01
   0.2077722      0.7981046E-01
   0.1926440      0.7730429E-01
   0.1776340      0.7461514E-01
   0.1627750      0.7173721E-01
   0.1480993      0.6866625E-01
   0.1336401      0.6539893E-01
   0.1194482      0.6192996E-01
   0.1055986      0.5826301E-01
   0.9217965E-01  0.5441407E-01
   0.7933908E-01  0.5042467E-01
   0.6742744E-01  0.4641956E-01
   0.5677316E-01  0.4253421E-01
   0.4738480E-01  0.3880262E-01
   0.3910800E-01  0.3521580E-01
   0.3194459E-01  0.3183687E-01
   0.2593973E-01  0.2877108E-01
   0.2097651E-01  0.2605104E-01
   0.1686972E-01  0.2362357E-01
   0.1345122E-01  0.2139963E-01
   0.1057575E-01  0.1932043E-01
   0.8133966E-02  0.1734777E-01
   0.6065466E-02  0.1545132E-01
   0.4326155E-02  0.1360395E-01
   0.2895261E-02  0.1174094E-01
   0.1759480E-02  0.9828259E-02
   0.8972472E-03  0.7909004E-02
   0.2888031E-03  0.6012396E-02
  -0.7841850E-04  0.4152273E-02
  -0.2078397E-03  0.2334145E-02
  -0.9190753E-04  0.5588041E-03
   0.2885000E-03 -0.1176922E-02
   0.9382904E-03 -0.2886990E-02
   0.1857446E-02 -0.4586824E-02
   0.3056630E-02 -0.6285430E-02
   0.4552768E-02 -0.7982249E-02
   0.6357382E-02 -0.9658034E-02
   0.8456633E-02 -0.1126264E-01
   0.1089122E-01 -0.1277329E-01
   0.1375578E-01 -0.1422769E-01
   0.1712272E-01 -0.1568834E-01
   0.2110285E-01 -0.1719847E-01
   0.2587071E-01 -0.1879267E-01
   0.3164247E-01 -0.2054272E-01
   0.3865336E-01 -0.2249181E-01
   0.4704197E-01 -0.2460527E-01
   0.5676362E-01 -0.2680842E-01
   0.6789146E-01 -0.2907395E-01
   0.8050857E-01 -0.3139673E-01
   0.9429669E-01 -0.3371666E-01
   0.1087375     -0.3592269E-01
   0.1236095     -0.3797520E-01
   0.1388351     -0.3987793E-01
   0.1543254     -0.4164168E-01
   0.1699831     -0.4327667E-01
   0.1857300     -0.4477982E-01
   0.2015261     -0.4615024E-01
   0.2173714     -0.4739193E-01
   0.2332815     -0.4851219E-01
   0.2492559     -0.4951776E-01
   0.2652744     -0.5041373E-01
   0.2813102     -0.5120039E-01
   0.2973492     -0.5187698E-01
   0.3133929     -0.5244363E-01
   0.3294473     -0.5290080E-01
   0.3455030     -0.5324865E-01
   0.3615306     -0.5348679E-01
   0.3774938     -0.5360818E-01
   0.3933745     -0.5360168E-01
   0.4091783     -0.5345680E-01
   0.4249260     -0.5316622E-01
   0.4406345     -0.5272532E-01
   0.4563117     -0.5212941E-01
   0.4719598     -0.5137531E-01
   0.4875878     -0.5046145E-01
   0.5032175     -0.4938506E-01
   0.5188820     -0.4814580E-01
   0.5346144     -0.4675172E-01
   0.5504383     -0.4521218E-01
   0.5663677     -0.4353777E-01
   0.5824039     -0.4174209E-01
   0.5985318     -0.3984173E-01
   0.6147202     -0.3785447E-01
   0.6309416     -0.3579015E-01
   0.6471984     -0.3365284E-01
   0.6635245     -0.3144392E-01
   0.6799585     -0.2917274E-01
   0.6965046     -0.2685689E-01
   0.7131241     -0.2451930E-01
   0.7297587     -0.2217797E-01
   0.7463667     -0.1984550E-01
   0.7629287     -0.1753198E-01
   0.7794303     -0.1525096E-01
   0.7958383     -0.1301977E-01
   0.8121016     -0.1085866E-01
   0.8281832     -0.8793680E-02
   0.8441009     -0.6845860E-02
   0.8599235     -0.5028036E-02
   0.8757115     -0.3341393E-02
   0.8914110     -0.1791494E-02
   0.9068450     -0.3953038E-03
   0.9217583      0.7716240E-03
   0.9359057      0.1605133E-02
   0.9491176      0.2050914E-02
   0.9613222      0.2112886E-02
   0.9725392      0.1861496E-02
   0.9828465      0.1370179E-02
   0.9923427      0.6969259E-03
    1.000000       0.000000    
